cell_id,longitude,latitude,stress_score,urbanization_component,vegetation_component,water_component,evidence_strength,stress_quartile,rank,mandal,nearest_place,nearest_place_distance_km
C_046_043,78.590056,13.364371,0.537,0.399,0.6781,0.5338,High (Multi-Source Convergence),Q4: Higher Relative Stress,72,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
C_050_158,79.629227,13.328439,0.5365,0.4759,0.5861,0.5475,High (Multi-Source Convergence),Q4: Higher Relative Stress,73,Nagari,N/A (Requires Authoritative Settlement Gazetteer),
C_050_165,79.692109,13.328439,0.5361,0.21,0.3982,1.0,High (Multi-Source Convergence),Q4: Higher Relative Stress,74,Vijayapuram,N/A (Requires Authoritative Settlement Gazetteer),
C_066_055,78.697854,13.184708,0.5349,0.7254,0.6199,0.2594,High (Multi-Source Convergence),Q4: Higher Relative Stress,75,Palamaner,N/A (Requires Authoritative Settlement Gazetteer),
C_062_060,78.742769,13.220641,0.5344,0.617,0.6462,0.3399,High (Multi-Source Convergence),Q4: Higher Relative Stress,76,Gangavaram,N/A (Requires Authoritative Settlement Gazetteer),
C_049_170,79.737025,13.337422,0.5335,0.225,0.7265,0.6491,High (Multi-Source Convergence),Q4: Higher Relative Stress,77,Nindra,N/A (Requires Authoritative Settlement Gazetteer),
C_051_035,78.518191,13.319455,0.5335,0.557,1.0,0.0436,High (Multi-Source Convergence),Q4: Higher Relative Stress,78,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
C_052_034,78.509207,13.310472,0.5328,0.4599,0.9759,0.1624,High (Multi-Source Convergence),Q4: Higher Relative Stress,79,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
C_052_155,79.602278,13.310472,0.5317,0.6705,0.7598,0.1647,High (Multi-Source Convergence),Q4: Higher Relative Stress,80,Nagari,N/A (Requires Authoritative Settlement Gazetteer),
C_041_166,79.701092,13.409287,0.5315,0.2284,0.3984,0.9677,High (Multi-Source Convergence),Q4: Higher Relative Stress,81,Nindra,N/A (Requires Authoritative Settlement Gazetteer),
C_050_162,79.66516,13.328439,0.5303,0.4314,0.644,0.5155,High (Multi-Source Convergence),Q4: Higher Relative Stress,82,Nindra,N/A (Requires Authoritative Settlement Gazetteer),
C_040_057,78.71582,13.41827,0.5296,0.5247,0.7388,0.3252,High (Multi-Source Convergence),Q4: Higher Relative Stress,83,Chowdepalle,N/A (Requires Authoritative Settlement Gazetteer),
C_053_039,78.554123,13.301489,0.5294,0.5613,0.9607,0.0662,High (Multi-Source Convergence),Q4: Higher Relative Stress,84,Punganur,N/A (Requires Authoritative Settlement Gazetteer),
C_045_087,78.985315,13.373354,0.5293,0.5369,1.0,0.0511,High (Multi-Source Convergence),Q4: Higher Relative Stress,85,Irala,N/A (Requires Authoritative Settlement Gazetteer),
